GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13
Id,Id2,Geography,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars)
8600000US10001,10001,ZCTA5 10001,76138,8189,85750,15465,131339,27661,70276,10046
8600000US10002,10002,ZCTA5 10002,32265,2395,33828,2841,37741,7797,26687,2641
8600000US10003,10003,ZCTA5 10003,91767,5086,139386,9941,153359,17207,79973,7099
8600000US10004,10004,ZCTA5 10004,127281,22042,202083,82419,,,106444,21611
8600000US10005,10005,ZCTA5 10005,120729,11887,169531,50533,169219,50374,104167,19471
8600000US10006,10006,ZCTA5 10006,115787,24791,235431,40121,,,97332,17569
8600000US10007,10007,ZCTA5 10007,210125,38367,,,,,172531,35913
8600000US10009,10009,ZCTA5 10009,59034,4175,60019,7371,85685,15082,57736,6745
8600000US10010,10010,ZCTA5 10010,95556,9188,167206,16502,186175,18452,76993,12566
8600000US10011,10011,ZCTA5 10011,101515,2204,175244,24888,217898,21515,87225,4769
8600000US10012,10012,ZCTA5 10012,77853,7036,122151,19411,144336,27148,70471,6025
8600000US10013,10013,ZCTA5 10013,68790,8565,100742,25535,131979,33778,51747,11860
8600000US10014,10014,ZCTA5 10014,105144,7145,184227,24411,201464,30018,86574,5402
8600000US10016,10016,ZCTA5 10016,101979,4073,152500,12356,195045,19121,86504,4953
8600000US10017,10017,ZCTA5 10017,108250,6747,164671,38146,181354,37105,88457,10723
8600000US10018,10018,ZCTA5 10018,87813,13610,94659,45244,165417,49882,87379,15007
8600000US10019,10019,ZCTA5 10019,80519,6561,122066,21229,170708,22333,68398,6201
8600000US10020,10020,ZCTA5 10020,,,,,,,,
8600000US10021,10021,ZCTA5 10021,106236,7929,200595,29820,218931,12380,71877,5188
8600000US10022,10022,ZCTA5 10022,106888,7306,234524,38390,,,79920,6373
8600000US10023,10023,ZCTA5 10023,105311,5150,177813,24402,206268,20153,81560,6735
8600000US10024,10024,ZCTA5 10024,110091,5604,179330,18699,206909,13544,76642,4549
8600000US10025,10025,ZCTA5 10025,68463,4161,109016,8008,151177,10579,51807,3028
8600000US10026,10026,ZCTA5 10026,42058,3040,45795,5785,92049,13771,36413,6711
8600000US10027,10027,ZCTA5 10027,35694,2558,40909,3805,88289,10523,31351,2282
8600000US10028,10028,ZCTA5 10028,107976,6678,195198,17438,209375,22115,81402,4464
8600000US10029,10029,ZCTA5 10029,31254,1526,33581,2392,51700,3120,24063,2574
8600000US10030,10030,ZCTA5 10030,30674,2530,38853,4275,63963,7445,20993,4033
8600000US10031,10031,ZCTA5 10031,36495,2470,38622,2408,47421,7066,30546,4714
8600000US10032,10032,ZCTA5 10032,36095,2424,41155,2611,63105,9443,24887,4145
8600000US10033,10033,ZCTA5 10033,41352,3264,44183,5050,62523,7009,31002,4412
8600000US10034,10034,ZCTA5 10034,43049,2640,39921,4634,55417,9235,43312,5496
8600000US10035,10035,ZCTA5 10035,26214,2351,31163,4646,52152,11182,17072,2393
8600000US10036,10036,ZCTA5 10036,64013,5276,88550,15072,105250,15911,58118,6234
8600000US10037,10037,ZCTA5 10037,39897,5621,47580,6463,88341,14829,33631,3373
8600000US10038,10038,ZCTA5 10038,65934,5696,67209,9524,91641,33498,61828,10511
8600000US10039,10039,ZCTA5 10039,35710,2948,38317,2718,63135,15262,28368,4999
8600000US10040,10040,ZCTA5 10040,40385,3023,40752,4566,71975,8070,36584,3470
8600000US10044,10044,ZCTA5 10044,75325,11779,102889,15442,130594,17468,56993,12603
8600000US10065,10065,ZCTA5 10065,109960,11982,208036,21636,217393,14003,77197,5645
8600000US10069,10069,ZCTA5 10069,186569,36953,233886,21293,245086,23588,123795,58706
8600000US10075,10075,ZCTA5 10075,100206,7508,205272,29722,216389,34687,73716,5438
8600000US10103,10103,ZCTA5 10103,,,,,,,,
8600000US10110,10110,ZCTA5 10110,,,,,,,,
8600000US10111,10111,ZCTA5 10111,,,,,,,,
8600000US10112,10112,ZCTA5 10112,,,,,,,,
8600000US10115,10115,ZCTA5 10115,,,,,,,,
8600000US10119,10119,ZCTA5 10119,,,,,,,,
8600000US10128,10128,ZCTA5 10128,96974,5207,162447,12512,197101,11079,69574,4073
8600000US10152,10152,ZCTA5 10152,,,,,,,,
8600000US10153,10153,ZCTA5 10153,,,,,,,,
8600000US10154,10154,ZCTA5 10154,,,,,,,,
8600000US10162,10162,ZCTA5 10162,165917,81898,183356,71571,245028,149390,124145,136864
8600000US10165,10165,ZCTA5 10165,,,,,,,,
8600000US10167,10167,ZCTA5 10167,,,,,,,,
8600000US10168,10168,ZCTA5 10168,,,,,,,,
8600000US10169,10169,ZCTA5 10169,,,,,,,,
8600000US10170,10170,ZCTA5 10170,,,,,,,,
8600000US10171,10171,ZCTA5 10171,,,,,,,,
8600000US10172,10172,ZCTA5 10172,,,,,,,,
8600000US10173,10173,ZCTA5 10173,,,,,,,,
8600000US10174,10174,ZCTA5 10174,,,,,,,,
8600000US10177,10177,ZCTA5 10177,,,,,,,,
8600000US10199,10199,ZCTA5 10199,,,,,,,,
8600000US10271,10271,ZCTA5 10271,,,,,,,,
8600000US10278,10278,ZCTA5 10278,,,,,,,,
8600000US10279,10279,ZCTA5 10279,,,,,,,,
8600000US10280,10280,ZCTA5 10280,125830,11961,170205,35091,175417,50563,105368,21161
8600000US10282,10282,ZCTA5 10282,233409,31582,,,,,112690,92675
8600000US10301,10301,ZCTA5 10301,54792,3354,65849,7927,89175,5309,39341,4053
8600000US10302,10302,ZCTA5 10302,56883,7509,67213,9068,85979,6963,22126,4734
8600000US10303,10303,ZCTA5 10303,50137,4945,60410,7125,85292,5060,25130,5884
8600000US10304,10304,ZCTA5 10304,51852,5183,60463,5793,74706,11008,35347,4611
8600000US10305,10305,ZCTA5 10305,66478,3878,78813,8181,90854,5692,34370,4635
8600000US10306,10306,ZCTA5 10306,77720,3902,92114,3081,101723,5913,39418,8370
8600000US10307,10307,ZCTA5 10307,86011,5922,101442,13333,106769,7498,35133,15685
8600000US10308,10308,ZCTA5 10308,90196,4912,95602,6617,108370,8726,37803,10037
8600000US10309,10309,ZCTA5 10309,86759,3623,94948,10946,108792,9786,56008,14174
8600000US10310,10310,ZCTA5 10310,62457,6662,78966,6546,106420,7779,29813,5165
8600000US10311,10311,ZCTA5 10311,,,,,,,,
8600000US10312,10312,ZCTA5 10312,87426,3800,98834,3734,104413,4084,43601,9421
8600000US10314,10314,ZCTA5 10314,79820,3180,91470,3241,97400,3001,41077,3113
8600000US10451,10451,ZCTA5 10451,26541,2460,30139,2517,45900,5173,18630,2518
8600000US10452,10452,ZCTA5 10452,26636,1497,29097,2428,40816,4731,17500,2096
8600000US10453,10453,ZCTA5 10453,26120,1471,28085,1486,45690,3573,16911,2035
8600000US10454,10454,ZCTA5 10454,19271,1505,22271,2017,36610,3891,11457,871
8600000US10455,10455,ZCTA5 10455,21379,2395,26843,2631,42995,7022,12803,1401
8600000US10456,10456,ZCTA5 10456,22604,1693,26729,1997,46501,3576,13867,1339
8600000US10457,10457,ZCTA5 10457,24445,1639,26520,1651,44649,4173,15481,2147
8600000US10458,10458,ZCTA5 10458,24478,1516,27309,2488,44577,3801,17116,1653
8600000US10459,10459,ZCTA5 10459,21913,1225,25192,1511,42298,6239,10901,1137
8600000US10460,10460,ZCTA5 10460,22625,1866,27044,1903,49281,6804,13061,1506
8600000US10461,10461,ZCTA5 10461,50329,2492,63586,4006,77279,6834,33841,3296
8600000US10462,10462,ZCTA5 10462,46001,2243,49843,2641,67018,3846,37476,5108
8600000US10463,10463,ZCTA5 10463,53282,2599,60619,3299,85876,7352,40286,3254
8600000US10464,10464,ZCTA5 10464,61063,8479,100000,42221,106700,33249,40134,20257
8600000US10465,10465,ZCTA5 10465,63352,5888,77683,8239,98167,7000,37471,7150
8600000US10466,10466,ZCTA5 10466,44038,3517,51225,2586,75263,4215,27019,3254
8600000US10467,10467,ZCTA5 10467,35358,1412,39414,2247,55096,3545,24754,3457
8600000US10468,10468,ZCTA5 10468,32985,2215,35582,2073,51221,3855,26768,3141
8600000US10469,10469,ZCTA5 10469,55724,2995,66138,3806,81461,5635,31216,3732
8600000US10470,10470,ZCTA5 10470,56058,6656,72692,16894,92620,6216,48089,7488
8600000US10471,10471,ZCTA5 10471,71286,6023,105298,13185,123655,5285,50238,4641
8600000US10472,10472,ZCTA5 10472,31594,1826,33757,3165,51804,2528,17637,1766
8600000US10473,10473,ZCTA5 10473,37616,2741,45968,2683,77846,7169,21759,2565
8600000US10474,10474,ZCTA5 10474,23297,3445,27622,3738,36138,5286,12486,2261
8600000US10475,10475,ZCTA5 10475,45460,3635,65260,5689,77051,9746,31906,2458
8600000US11001,11001,ZCTA5 11001,101537,4428,119945,5046,128762,6064,45500,8700
8600000US11003,11003,ZCTA5 11003,83754,3302,92722,5343,105109,6670,32827,5055
8600000US11004,11004,ZCTA5 11004,78766,9801,101400,7458,109496,15998,35788,5791
8600000US11005,11005,ZCTA5 11005,70036,12163,112900,27278,112900,27278,61438,10070
8600000US11040,11040,ZCTA5 11040,99793,4463,113974,6709,119222,4822,45111,5339
8600000US11101,11101,ZCTA5 11101,43909,4135,44755,7507,60864,7371,41073,7275
8600000US11102,11102,ZCTA5 11102,48548,2843,50000,4576,59747,3836,45166,6457
8600000US11103,11103,ZCTA5 11103,55844,2517,64395,5341,70089,8112,48999,3487
8600000US11104,11104,ZCTA5 11104,54188,2404,60244,8476,67364,7577,44419,6297
8600000US11105,11105,ZCTA5 11105,57576,2454,62078,5638,69688,8943,52473,3231
8600000US11106,11106,ZCTA5 11106,49371,3207,53672,6106,68686,5327,42591,4220
8600000US11109,11109,ZCTA5 11109,126225,15755,147143,35514,154583,50564,102125,25493
8600000US11201,11201,ZCTA5 11201,93693,5405,142426,18073,179438,7953,71986,5406
8600000US11203,11203,ZCTA5 11203,49002,2253,60297,3615,75879,3181,24803,2435
8600000US11204,11204,ZCTA5 11204,45112,2785,51115,2455,54333,2596,24092,2840
8600000US11205,11205,ZCTA5 11205,42434,2849,47500,5908,76290,5163,37931,5344
8600000US11206,11206,ZCTA5 11206,28584,1645,31217,1564,40729,4703,19996,1929
8600000US11207,11207,ZCTA5 11207,32642,1782,36433,2482,57840,5546,21674,2268
8600000US11208,11208,ZCTA5 11208,35665,1495,38165,1751,53199,2629,19770,2199
8600000US11209,11209,ZCTA5 11209,57713,2422,72535,4152,81538,5628,45132,2529
8600000US11210,11210,ZCTA5 11210,54664,2001,63133,2584,81938,5567,32070,2657
8600000US11211,11211,ZCTA5 11211,44173,2126,33528,3519,38220,2720,55879,3622
8600000US11212,11212,ZCTA5 11212,27901,1844,31759,1722,56048,4818,15457,2551
8600000US11213,11213,ZCTA5 11213,35344,1629,40858,2640,54523,4560,22560,3060
8600000US11214,11214,ZCTA5 11214,41246,1563,48450,2041,48965,2327,24138,1442
8600000US11215,11215,ZCTA5 11215,93184,4253,121541,5667,143552,7342,69363,3700
8600000US11216,11216,ZCTA5 11216,41688,1744,45646,2502,64931,9265,34644,3081
8600000US11217,11217,ZCTA5 11217,78591,5094,96482,9955,127465,7321,66085,5108
8600000US11218,11218,ZCTA5 11218,53251,2574,57451,6058,63277,4269,41361,6474
8600000US11219,11219,ZCTA5 11219,34590,1532,36175,1990,36313,2182,22607,2468
8600000US11220,11220,ZCTA5 11220,38267,2612,37569,3494,41573,2365,25313,2418
8600000US11221,11221,ZCTA5 11221,37608,2457,43561,2206,61575,4827,25723,1549
8600000US11222,11222,ZCTA5 11222,62634,3769,67771,6997,76214,8731,58292,4806
8600000US11223,11223,ZCTA5 11223,40960,1620,49057,2096,50035,2221,21707,1389
8600000US11224,11224,ZCTA5 11224,31415,2217,41104,1498,44123,4002,14486,1899
8600000US11225,11225,ZCTA5 11225,40481,2101,48255,3229,64382,8602,29788,2809
8600000US11226,11226,ZCTA5 11226,40146,1311,44607,2642,56609,2855,28546,2807
8600000US11228,11228,ZCTA5 11228,61213,4128,70667,3710,72472,4827,34690,5104
8600000US11229,11229,ZCTA5 11229,49629,2008,61623,3641,69511,3650,26992,3270
8600000US11230,11230,ZCTA5 11230,42568,2528,53542,2865,58758,3678,22809,2757
8600000US11231,11231,ZCTA5 11231,71999,2956,79894,11899,119513,4462,61591,6745
8600000US11232,11232,ZCTA5 11232,40565,2875,39327,3410,46189,7245,39426,5524
8600000US11233,11233,ZCTA5 11233,35620,2318,38907,2885,62083,7683,24658,4804
8600000US11234,11234,ZCTA5 11234,68177,2289,80710,3246,94304,3387,32274,2822
8600000US11235,11235,ZCTA5 11235,42298,3303,61662,2540,68552,5500,21602,2052
8600000US11236,11236,ZCTA5 11236,60758,2040,66190,2805,89243,4652,36488,3482
8600000US11237,11237,ZCTA5 11237,37636,2618,33750,2883,42952,4926,34270,7503
8600000US11238,11238,ZCTA5 11238,64981,2361,74947,7888,108661,9271,57275,4973
8600000US11239,11239,ZCTA5 11239,24640,6143,37188,13877,34700,21262,15957,4828
8600000US11351,11351,ZCTA5 11351,,,,,,,,
8600000US11354,11354,ZCTA5 11354,48236,2947,54263,3764,58005,5513,29928,5163
8600000US11355,11355,ZCTA5 11355,43248,1885,45897,3147,47354,3055,30302,4913
8600000US11356,11356,ZCTA5 11356,59289,6127,67420,6471,73037,6170,41611,3675
8600000US11357,11357,ZCTA5 11357,76014,2676,92691,4394,94838,4723,35595,6302
8600000US11358,11358,ZCTA5 11358,67924,3374,80428,5856,88906,6704,39149,5972
8600000US11359,11359,ZCTA5 11359,,,,,,,,
8600000US11360,11360,ZCTA5 11360,76438,6689,95057,9237,100916,9026,48021,7171
8600000US11361,11361,ZCTA5 11361,72837,6747,86957,9847,94071,6160,47955,8909
8600000US11362,11362,ZCTA5 11362,86051,5415,96842,7857,102094,9247,50500,12247
8600000US11363,11363,ZCTA5 11363,91712,5069,110366,9715,112478,20120,50500,17235
8600000US11364,11364,ZCTA5 11364,73079,3500,81657,5072,89343,6728,52827,8852
8600000US11365,11365,ZCTA5 11365,56131,3985,67360,6851,74919,6372,33345,4823
8600000US11366,11366,ZCTA5 11366,75729,6500,91343,8142,99886,6319,30161,9473
8600000US11367,11367,ZCTA5 11367,52199,4086,66102,5220,76592,4241,35746,5917
8600000US11368,11368,ZCTA5 11368,46325,2084,43590,2816,51672,4528,27519,2846
8600000US11369,11369,ZCTA5 11369,55553,4514,59774,3531,64553,2962,35393,3322
8600000US11370,11370,ZCTA5 11370,52489,4598,55987,6378,64815,8641,40042,8493
8600000US11371,11371,ZCTA5 11371,,,,,,,,
8600000US11372,11372,ZCTA5 11372,47750,3242,52450,4388,57615,3574,37563,5497
8600000US11373,11373,ZCTA5 11373,44964,2132,46801,2458,49051,3176,33974,3274
8600000US11374,11374,ZCTA5 11374,54868,2628,71242,4829,82138,5670,40945,2730
8600000US11375,11375,ZCTA5 11375,72538,2823,93877,3794,101946,6142,51038,4243
8600000US11377,11377,ZCTA5 11377,49528,1757,51344,3101,56590,5244,40539,5332
8600000US11378,11378,ZCTA5 11378,58317,3082,68184,3674,77393,4930,35976,4328
8600000US11379,11379,ZCTA5 11379,67516,3896,84139,4976,87312,5940,34034,6588
8600000US11385,11385,ZCTA5 11385,51258,1618,57926,2413,68254,3233,29839,3063
8600000US11411,11411,ZCTA5 11411,81390,7265,91085,4897,108977,7747,46250,6233
8600000US11412,11412,ZCTA5 11412,71292,2852,78672,3136,93795,8947,32932,8394
8600000US11413,11413,ZCTA5 11413,77739,4068,85280,6549,101994,7434,49981,5689
8600000US11414,11414,ZCTA5 11414,65295,5665,78679,5490,83472,6068,38750,4681
8600000US11415,11415,ZCTA5 11415,60287,7474,67366,6216,86319,18187,51777,4262
8600000US11416,11416,ZCTA5 11416,55225,3702,56626,2356,65694,6955,30273,10106
8600000US11417,11417,ZCTA5 11417,61284,4647,66410,3260,78298,8021,33631,8304
8600000US11418,11418,ZCTA5 11418,58965,2017,63236,3161,69280,3989,50942,8973
8600000US11419,11419,ZCTA5 11419,53815,5148,57048,6068,61293,5401,32054,6848
8600000US11420,11420,ZCTA5 11420,60603,3310,63787,3822,70915,7132,27444,9163
8600000US11421,11421,ZCTA5 11421,57091,4169,61680,4216,72623,5217,35557,5060
8600000US11422,11422,ZCTA5 11422,85151,3553,89489,5434,112440,6615,43442,3141
8600000US11423,11423,ZCTA5 11423,61948,5241,74365,4247,86089,5219,28861,7038
8600000US11424,11424,ZCTA5 11424,,,,,,,,
8600000US11425,11425,ZCTA5 11425,,,,,,,,
8600000US11426,11426,ZCTA5 11426,78415,5921,91108,8860,97179,6260,51212,8801
8600000US11427,11427,ZCTA5 11427,70438,4860,82137,6590,88493,8885,42175,3960
8600000US11428,11428,ZCTA5 11428,69758,6775,78244,5217,85339,8042,37704,5956
8600000US11429,11429,ZCTA5 11429,70478,6962,73810,6207,87442,7276,32201,5343
8600000US11430,11430,ZCTA5 11430,,,,,,,,
8600000US11432,11432,ZCTA5 11432,50130,3364,55867,3462,61920,4626,33942,4468
8600000US11433,11433,ZCTA5 11433,43419,2601,47024,2868,69289,11640,20203,5005
8600000US11434,11434,ZCTA5 11434,57393,2976,66502,5144,84635,4923,36367,3484
8600000US11435,11435,ZCTA5 11435,53914,1912,58150,3034,64812,7910,38953,4962
8600000US11436,11436,ZCTA5 11436,60820,4683,63511,5542,73708,5368,34803,11048
8600000US11451,11451,ZCTA5 11451,,,,,,,,
8600000US11581,11581,ZCTA5 11581,102135,7865,110238,6269,114643,9153,32993,14110
8600000US11691,11691,ZCTA5 11691,38631,3481,51107,4337,68026,3552,15262,3101
8600000US11692,11692,ZCTA5 11692,39817,4062,45055,7776,70933,8413,26491,5184
8600000US11693,11693,ZCTA5 11693,50006,5548,52970,5886,69599,18571,38182,10163
8600000US11694,11694,ZCTA5 11694,73893,5009,95559,11500,108608,9256,39444,5679
8600000US11697,11697,ZCTA5 11697,86731,4456,102273,7831,106173,12215,39722,7678
